test1,test2,test3,test4,test5,test
1,0,1,1,1,1
1,1,1,1,1,1
1,0,1,0,1,1
1,1,1,1,1,1
0,1,1,1,0,0
0,0,1,0,0,0
0,1,1,1,1,1
0,1,1,0,1,0
1,1,1,0,0,1
1,1,1,0,0,1
1,0,1,0,1,0
1,0,1,1,0,1
1,1,1,1,1,1
1,0,1,1,0,1
1,1,0,0,0,1
0,1,1,0,0,0
0,1,1,0,0,1
0,1,1,1,0,0
1,0,1,1,1,1
0,0,1,0,0,0
0,1,1,0,1,1
1,0,1,0,1,1
0,0,1,0,0,0
0,1,1,0,0,0
0,1,1,1,1,1
1,0,1,0,1,1
1,1,1,1,1,0
1,1,1,1,1,1
1,0,1,0,1,1
1,1,0,0,0,1
1,0,1,0,1,1
0,1,1,0,0,1
1,0,1,0,1,0
0,1,1,1,1,1
0,1,0,0,1,0
0,1,1,0,0,1
1,0,1,1,1,1
1,1,1,1,1,1
0,1,1,0,0,0
0,1,1,1,1,1
0,1,1,0,0,1
0,1,1,1,1,0
0,1,1,0,0,1
1,1,0,1,1,1
0,1,1,0,0,0
0,1,0,0,1,0
0,1,1,1,1,1
1,1,1,1,1,1
1,0,1,1,1,1
1,0,1,1,1,1
1,1,1,1,1,1
0,1,1,0,0,0
1,0,1,1,1,1
0,0,1,1,1,0
0,1,1,1,1,1
0,1,1,0,0,0
1,1,1,0,1,0
0,1,1,0,0,1
0,1,1,0,0,0
0,1,1,0,0,0
